Nomor,Perusahaan,Tahun,ROA,CR,DER,ROS,GPM
1,ADHI,2019,0.018,1.238,4.343,0.077,0.150
2,DGIK,2019,0.001,1.426,0.915,0.005,0.136
3,NRCA,2019,0.041,1.936,1.017,0.064,0.105
4,PTPP,2019,0.020,1.368,2.415,0.050,0.118
5,TOTL,2019,0.059,1.423,1.751,0.072,0.146
6,WIKA,2019,0.042,1.395,2.232,0.102,0.128
7,WSKT,2019,0.008,1.089,3.210,0.042,0.179
8,JKON,2019,0.041,1.358,0.827,0.047,0.150
9,CSIS,2019,-0.020,0.282,1.289,-0.140,0.166
10,IDPR,2019,-0.002,2.175,0.649,0.000,0.170
11,TOPS,2019,-0.070,2.482,1.327,-0.283,0.119
12,WEGE,2019,0.074,1.664,1.520,0.100,0.102
13,PBSA,2019,0.018,3.045,0.344,0.040,0.140
14,SRKN,2019,0.082,2.016,1.268,0.263,0.387
15,SSIA,2019,0.017,2.368,0.807,0.041,0.272
16,TAMA,2019,0.012,0.347,5.097,0.069,0.427
